,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q15a,Q15b,Q15c,Q15d,Q15e,Q15f,Q15g,Q15h,Q15i,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,Q18_categorized,Q20_categorized,Q13_combined,Q13_betting_ways
2,Q1_2,Q9a_2,Q9b_3,Q9c_2,Q9d_2,Q9e_2,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_4,Q16h_2,Q16i_3,Q17a_2,Q17b_2,Q17c_2,Q17d_3,Q22_D,p_gender_sdc_2,p_age_group_sdc_3,3,Q18_0,Q20_0,1,single_way
3,Q1_2,Q9a_3,Q9b_2,Q9c_3,Q9d_3,Q9e_3,1,0,0,0,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_4,Q17d_4,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,2,Q18_2,Q20_2,1,single_way
4,Q1_4,Q9a_4,Q9b_3,Q9c_3,Q9d_2,Q9e_3,0,1,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_3,Q16d_3,Q16e_2,Q16f_3,Q16g_2,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_1,p_age_group_sdc_2,2,Q18_1,Q20_2,2,multiple_ways
5,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,0,0,0,1,1,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_3,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_1,p_age_group_sdc_4,2,Q18_2,Q20_2,2,multiple_ways
6,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_3,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_1,Q16c_2,Q16d_2,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_2,p_age_group_sdc_3,2,Q18_1,Q20_2,1,single_way
7,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,0,0,0,1,0,0,1,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_3,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_3,3,Q18_2,Q20_1,2,multiple_ways
8,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_4,1,1,0,1,1,0,0,0,0,1,0,Q15a_3,Q15b_4,Q15c_3,Q15d_4,Q15e_4,Q15f_4,Q15g_3,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_2,Q16e_3,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_4,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_1,p_age_group_sdc_3,2,Q18_1,Q20_1,4,multiple_ways
11,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_2,1,1,0,1,1,1,1,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_D,Q16e_3,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_3,2,Q18_2,Q20_1,6,multiple_ways
16,Q1_5,Q9a_3,Q9b_4,Q9c_3,Q9d_2,Q9e_3,0,0,0,1,1,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_3,Q15d_4,Q15e_4,Q15f_4,Q15g_3,Q15h_3,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_2,Q16g_2,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_1,p_age_group_sdc_3,2,Q18_1,Q20_1,2,multiple_ways
17,Q1_4,Q9a_4,Q9b_3,Q9c_4,Q9d_3,Q9e_3,0,0,1,1,1,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_3,Q16d_3,Q16e_4,Q16f_2,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3,Q22_3,p_gender_sdc_2,p_age_group_sdc_3, ,Q18_1,Q20_1,3,multiple_ways
19,Q1_2,Q9a_3,Q9b_1,Q9c_1,Q9d_2,Q9e_3,0,0,1,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_2,Q17d_1,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,3,Q18_1,Q20_2,2,multiple_ways
21,Q1_4,Q9a_4,Q9b_3,Q9c_3,Q9d_3,Q9e_3,1,0,1,1,1,0,1,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,3,Q18_1,Q20_1,5,multiple_ways
22,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_1,Q16b_1,Q16c_2,Q16d_3,Q16e_3,Q16f_2,Q16g_2,Q16h_2,Q16i_2,Q17a_3,Q17b_1,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,3,Q18_1,Q20_2,1,single_way
24,Q1_2,Q9a_2,Q9b_3,Q9c_2,Q9d_3,Q9e_3,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_4,Q17d_4,Q22_3,p_gender_sdc_1,p_age_group_sdc_4,1,Q18_1,Q20_2,1,single_way
25,Q1_1,Q9a_3,Q9b_2,Q9c_1,Q9d_D,Q9e_3,0,1,1,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_1,Q16d_1,Q16e_2,Q16f_3,Q16g_3,Q16h_4,Q16i_3,Q17a_3,Q17b_1,Q17c_2,Q17d_4,Q22_1,p_gender_sdc_1,p_age_group_sdc_4,3,Q18_2,Q20_2,3,multiple_ways
27,Q1_2,Q9a_2,Q9b_2,Q9c_3,Q9d_2,Q9e_2,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_1,Q17c_2,Q17d_2,Q22_3,p_gender_sdc_2,p_age_group_sdc_2,2,Q18_1,Q20_1,1,single_way
28,Q1_2,Q9a_3,Q9b_3,Q9c_1,Q9d_3,Q9e_3,0,1,0,1,0,0,1,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_2,Q17d_3,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,1,Q18_1,Q20_2,3,multiple_ways
29,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_3,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_1,Q16f_4,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_2,Q17d_3,Q22_3,p_gender_sdc_2,p_age_group_sdc_2,1,Q18_2,Q20_2,1,single_way
30,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_2,1,0,1,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_1,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,3,Q18_0,Q20_0,3,multiple_ways
32,Q1_4,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_3,0,1,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_3,Q17b_1,Q17c_3,Q17d_4,Q22_3,p_gender_sdc_2,p_age_group_sdc_4,1,Q18_1,Q20_1,2,multiple_ways
34,Q1_2,Q9a_4,Q9b_2,Q9c_3,Q9d_3,Q9e_3,0,0,1,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_2,Q16f_2,Q16g_4,Q16h_4,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_2,Q22_3,p_gender_sdc_1,p_age_group_sdc_4,1,Q18_1,Q20_1,2,multiple_ways
37,Q1_2,Q9a_2,Q9b_3,Q9c_3,Q9d_3,Q9e_4,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_1,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_2,Q16i_1,Q17a_3,Q17b_2,Q17c_3,Q17d_2,Q22_1,p_gender_sdc_1,p_age_group_sdc_4,2,Q18_1,Q20_1,1,single_way
38,Q1_5,Q9a_2,Q9b_4,Q9c_3,Q9d_3,Q9e_4,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_1,Q17c_4,Q17d_4,Q22_3,p_gender_sdc_2,p_age_group_sdc_4,1,Q18_1,Q20_2,1,single_way
39,Q1_2,Q9a_2,Q9b_2,Q9c_2,Q9d_3,Q9e_3,0,0,1,0,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_4,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,3,Q18_0,Q20_1,1,single_way
40,Q1_1,Q9a_3,Q9b_2,Q9c_3,Q9d_3,Q9e_3,0,1,1,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_4,Q22_1,p_gender_sdc_1,p_age_group_sdc_3,2,Q18_1,Q20_1,3,multiple_ways
42,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_3,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,3,Q18_0,Q20_1,1,single_way
43,Q1_2,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_3,1,0,1,0,1,0,0,0,0,0,0,Q15a_3,Q15b_4,Q15c_4,Q15d_4,Q15e_3,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_2,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_4,2,Q18_1,Q20_1,3,multiple_ways
44,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,0,1,1,0,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_3,Q17c_2,Q17d_2,Q22_1,p_gender_sdc_1,p_age_group_sdc_4,3,Q18_0,Q20_1,2,multiple_ways
45,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_4,Q9e_4,1,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_3,Q16d_3,Q16e_2,Q16f_2,Q16g_3,Q16h_3,Q16i_1,Q17a_4,Q17b_2,Q17c_3,Q17d_3,Q22_3,p_gender_sdc_1,p_age_group_sdc_4,1,Q18_1,Q20_1,2,multiple_ways
47,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_4,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3,Q22_3,p_gender_sdc_1,p_age_group_sdc_3,3,Q18_0,Q20_1,1,single_way
49,Q1_1,Q9a_3,Q9b_2,Q9c_2,Q9d_1,Q9e_2,1,1,1,1,1,1,0,1,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_1,Q16b_2,Q16c_4,Q16d_2,Q16e_3,Q16f_2,Q16g_2,Q16h_4,Q16i_4,Q17a_1,Q17b_4,Q17c_1,Q17d_1,Q22_3,p_gender_sdc_2,p_age_group_sdc_3,1,Q18_1,Q20_1,7,multiple_ways
51,Q1_4,Q9a_4,Q9b_2,Q9c_3,Q9d_3,Q9e_3,1,0,1,1,0,0,0,0,0,0,0,Q15a_3,Q15b_4,Q15c_3,Q15d_4,Q15e_3,Q15f_4,Q15g_3,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_3,Q16h_3,Q16i_3,Q17a_3,Q17b_3,Q17c_2,Q17d_2,Q22_3,p_gender_sdc_1,p_age_group_sdc_3,2,Q18_1,Q20_2,3,multiple_ways
55,Q1_4,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,1,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_3,Q15h_3,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_3,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_2,2,Q18_1,Q20_2,2,multiple_ways
56,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_2,0,0,1,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_4,Q16i_3,Q17a_2,Q17b_3,Q17c_2,Q17d_3,Q22_1,p_gender_sdc_2,p_age_group_sdc_3,2,Q18_1,Q20_1,2,multiple_ways
57,Q1_2,Q9a_2,Q9b_2,Q9c_2,Q9d_1,Q9e_3,0,0,1,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_3,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_1,p_age_group_sdc_4, ,Q18_1,Q20_2,2,multiple_ways
58,Q1_4,Q9a_2,Q9b_3,Q9c_3,Q9d_3,Q9e_3,0,0,1,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_2,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_2,Q22_1,p_gender_sdc_1,p_age_group_sdc_4, ,Q18_1,Q20_1,2,multiple_ways
59,Q1_4,Q9a_3,Q9b_2,Q9c_2,Q9d_2,Q9e_2,0,0,0,1,0,0,0,0,0,1,0,Q15a_3,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_2,Q16g_2,Q16h_3,Q16i_2,Q17a_3,Q17b_3,Q17c_2,Q17d_3,Q22_1,p_gender_sdc_1,p_age_group_sdc_3,2,Q18_1,Q20_1,1,single_way
61,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_3,0,0,1,0,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_1,Q16d_2,Q16e_1,Q16f_3,Q16g_1,Q16h_3,Q16i_1,Q17a_4,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_1,p_age_group_sdc_4,3,Q18_0,Q20_1,1,single_way
63,Q1_2,Q9a_3,Q9b_2,Q9c_2,Q9d_3,Q9e_3,1,1,0,1,1,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_3,Q17c_3,Q17d_2,Q22_1,p_gender_sdc_2,p_age_group_sdc_3,2,Q18_1,Q20_1,4,multiple_ways
65,Q1_1,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,0,1,0,0,0,0,0,0,1,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_3,Q16g_2,Q16h_4,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_4,Q22_3,p_gender_sdc_1,p_age_group_sdc_4,1,Q18_1,Q20_1,2,multiple_ways
68,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_2,Q16h_3,Q16i_1,Q17a_2,Q17b_3,Q17c_2,Q17d_2,Q22_3,p_gender_sdc_2,p_age_group_sdc_2,1,Q18_1,Q20_2,1,single_way
69,Q1_2,Q9a_2,Q9b_2,Q9c_3,Q9d_3,Q9e_2,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_3,Q16g_3,Q16h_3,Q16i_1,Q17a_3,Q17b_2,Q17c_3,Q17d_3,Q22_3,p_gender_sdc_2,p_age_group_sdc_2,1,Q18_1,Q20_1,1,single_way
71,Q1_2,Q9a_3,Q9b_4,Q9c_2,Q9d_3,Q9e_3,0,0,0,1,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_3,Q17d_3,Q22_1,p_gender_sdc_2,p_age_group_sdc_2,2,Q18_2,Q20_1,1,single_way
72,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_2,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_3,Q17a_2,Q17b_3,Q17c_2,Q17d_2,Q22_3,p_gender_sdc_1,p_age_group_sdc_3,2,Q18_2,Q20_2,1,single_way
73,Q1_1,Q9a_3,Q9b_1,Q9c_3,Q9d_2,Q9e_3,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_1,Q17a_3,Q17b_2,Q17c_2,Q17d_2,Q22_2,p_gender_sdc_2,p_age_group_sdc_2,2,Q18_0,Q20_2,1,single_way
74,Q1_2,Q9a_4,Q9b_3,Q9c_3,Q9d_3,Q9e_3,0,0,0,0,0,0,1,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_2,Q16c_1,Q16d_3,Q16e_1,Q16f_3,Q16g_4,Q16h_2,Q16i_1,Q17a_3,Q17b_1,Q17c_4,Q17d_1,Q22_3,p_gender_sdc_2,p_age_group_sdc_4,1,Q18_0,Q20_0,1,single_way
78,Q1_2,Q9a_3,Q9b_3,Q9c_3,Q9d_2,Q9e_2,0,0,1,0,0,0,0,0,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_4,Q16b_1,Q16c_1,Q16d_3,Q16e_1,Q16f_4,Q16g_4,Q16h_1,Q16i_1,Q17a_4,Q17b_1,Q17c_3,Q17d_4,Q22_3,p_gender_sdc_2,p_age_group_sdc_4,1,Q18_2,Q20_2,1,single_way
80,Q1_2,Q9a_2,Q9b_3,Q9c_2,Q9d_3,Q9e_2,0,0,0,1,0,0,0,0,1,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_2,Q16h_3,Q16i_2,Q17a_3,Q17b_3,Q17c_2,Q17d_3,Q22_3,p_gender_sdc_1,p_age_group_sdc_3,1,Q18_1,Q20_2,2,multiple_ways
81,Q1_2,Q9a_3,Q9b_2,Q9c_3,Q9d_2,Q9e_2,0,0,0,1,0,0,0,0,0,0,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_3,Q16b_2,Q16c_2,Q16d_3,Q16e_2,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_3,Q17b_2,Q17c_2,Q17d_3,Q22_3,p_gender_sdc_2,p_age_group_sdc_2,1,Q18_1,Q20_1,1,single_way
83,Q1_2,Q9a_4,Q9b_3,Q9c_2,Q9d_2,Q9e_2,0,0,0,1,1,0,0,1,0,1,0,Q15a_4,Q15b_4,Q15c_4,Q15d_4,Q15e_4,Q15f_4,Q15g_4,Q15h_4,Q15i_4,Q16a_1,Q16b_2,Q16c_3,Q16d_1,Q16e_4,Q16f_2,Q16g_4,Q16h_4,Q16i_2,Q17a_4,Q17b_2,Q17c_2,Q17d_4,Q22_3,p_gender_sdc_2,p_age_group_sdc_2,1,Q18_1,Q20_1,3,multiple_ways
